"ano","idade","observado","previsto","IC_lower","IC_upper","sexo"
2016,0,0.0112441653700822,0.0112508947904792,0.0107446416260167,0.0118384465953665,"Feminino"
2016,1,0.000482658039132428,0.000470542800107785,0.000457128300449517,0.000499040533060759,"Feminino"
2016,5,0.000202804625956758,0.000215087381043162,0.000205349835582198,0.000219773928497834,"Feminino"
2016,10,0.000244120631469099,0.000254078395286802,0.000249001074709021,0.000258864726439265,"Feminino"
2016,15,0.00046653646507089,0.000469001987744537,0.000455692821759102,0.000482985192740264,"Feminino"
2016,20,0.000560695295280403,0.00056020198117673,0.000546831858660218,0.000574676557103869,"Feminino"
2016,25,0.000670650802859735,0.00069466758849066,0.0006814005499183,0.000711663391216145,"Feminino"
2016,30,0.000903234177756625,0.000937025216193263,0.000918246507519182,0.000955067618423188,"Feminino"
2016,35,0.00129813036448878,0.00132329574087204,0.00129871593462848,0.00134428393136977,"Feminino"
2016,40,0.0018801837204144,0.00189762667780579,0.00183923369450402,0.0019309251630021,"Feminino"
2016,45,0.00276913102869273,0.00281114009718227,0.00275275125790597,0.00286256636849142,"Feminino"
2016,50,0.00410540216228509,0.00407974048731198,0.00397451709976604,0.00417477700067781,"Feminino"
2016,55,0.00613897417303655,0.00608673413907062,0.00594797619004904,0.0062595003579706,"Feminino"
2016,60,0.00934098078133145,0.009085603598396,0.00879534847328982,0.00945381550134622,"Feminino"
2016,65,0.0143617906818096,0.0143076989240454,0.0140567312866073,0.0146057290829837,"Feminino"
2016,70,0.0209030466156007,0.0205540141866529,0.0200641308053974,0.0211153418820555,"Feminino"
2016,75,0.0364720048033258,0.0358608764069739,0.035379797606418,0.0366428098672946,"Feminino"
2016,80,0.0633300542074556,0.0632724617040244,0.0622637909345163,0.0640787546368736,"Feminino"
2016,85,0.111580109134992,0.11221689769558,0.109769117111426,0.114229751161711,"Feminino"
2016,90,0.190299559143386,0.186429384268051,0.184682061946789,0.190040474382294,"Feminino"
2017,0,0.0118457403996224,0.0109736836363206,0.0104799040596598,0.0115467587336221,"Feminino"
2017,1,0.000490680211321703,0.00045343992948488,0.000440513008112952,0.000480901852221165,"Feminino"
2017,5,0.000196982846615696,0.000213442401914697,0.000203779328786643,0.000218093106854061,"Feminino"
2017,10,0.000244127193706331,0.000251240553252772,0.000246219942076589,0.000255973425110839,"Feminino"
2017,15,0.000455357438602881,0.000465810050266986,0.000452591463909813,0.000479698088254368,"Feminino"
2017,20,0.000557609350752892,0.000552561645600461,0.000539373871997652,0.000566838809484938,"Feminino"
2017,25,0.000656820426420847,0.000691735669923935,0.000678524626301332,0.000708659740053293,"Feminino"
2017,30,0.000885300082678021,0.000926937890938314,0.000908361340049305,0.000944786061917543,"Feminino"
2017,35,0.00126506929479191,0.0013013763088952,0.00127720364927376,0.00132201684527471,"Feminino"
2017,40,0.00184222125357385,0.00188041828187393,0.00182255482821466,0.00191341480382114,"Feminino"
2017,45,0.00272302739757206,0.00274993680836029,0.00269281919316769,0.00280024344250189,"Feminino"
2017,50,0.00402321274511458,0.00400311959062132,0.00389987238522022,0.00409637123975495,"Feminino"
2017,55,0.00599354483113513,0.00595192595216378,0.00581624119594134,0.00612086576757767,"Feminino"
2017,60,0.00922338322135395,0.00887569487528951,0.00859214564286579,0.00923539981559892,"Feminino"
2017,65,0.0141235800508044,0.013937632371191,0.0136931559752138,0.014227954023391,"Feminino"
2017,70,0.020573638768936,0.0201970745621701,0.0197156984626824,0.0207486542786626,"Feminino"
2017,75,0.0359366735078181,0.0353588185269798,0.0348844749048945,0.0361298047965254,"Feminino"
2017,80,0.0625697982042194,0.0625528505293448,0.0615556515871967,0.0633499733210471,"Feminino"
2017,85,0.109264525517984,0.111303931082274,0.108876064985117,0.11330040851191,"Feminino"
2017,90,0.188929447183116,0.186182226620041,0.184437220800961,0.18978852935303,"Feminino"
2018,0,0.0115660615701649,0.0106777178003378,0.0101972557103151,0.0112353367704285,"Feminino"
2018,1,0.000475001722668249,0.000445681566629391,0.000432975825043552,0.000472673615524747,"Feminino"
2018,5,0.000195505270313916,0.000211104642742109,0.000201547405837963,0.000215704410154377,"Feminino"
2018,10,0.000239960725398454,0.00025063717817867,0.000245628624417587,0.000255358683651529,"Feminino"
2018,15,0.000446617361625856,0.000460917064835108,0.000447837329819675,0.000474659219393159,"Feminino"
2018,20,0.000556124308511957,0.00054973342518199,0.000536613151614471,0.00056393751311786,"Feminino"
2018,25,0.000644719598209975,0.000685863315383171,0.000672764424328924,0.000702643711932585,"Feminino"
2018,30,0.000868724351469504,0.000921736885767277,0.000903264567036841,0.000939484911493558,"Feminino"
2018,35,0.00123483820321334,0.00128109456347882,0.00125729863096169,0.00130141342034008,"Feminino"
2018,40,0.001799018366882,0.00185132291429745,0.00179435477125588,0.00188380888710565,"Feminino"
2018,45,0.00265208163112524,0.00269745438317184,0.00264142685519767,0.00274680091737413,"Feminino"
2018,50,0.00392767109644891,0.00393226051013151,0.00383084087991828,0.00402386151507074,"Feminino"
2018,55,0.00586148485455783,0.00581427645453264,0.00568172966384948,0.00597930921853015,"Feminino"
2018,60,0.00910904821087957,0.00866646681060767,0.00838960172607046,0.00901769237329369,"Feminino"
2018,65,0.0139593239896324,0.0137227391246212,0.0134820321153692,0.0140085845386246,"Feminino"
2018,70,0.0202665618718869,0.0199245208257552,0.0194496407588554,0.0204686571319559,"Feminino"
2018,75,0.0354036264134807,0.0348853182497769,0.0344173267018249,0.035645980016764,"Feminino"
2018,80,0.0620614162652101,0.0617968909519701,0.060811743292609,0.062584380407963,"Feminino"
2018,85,0.108082008616847,0.110115037920403,0.107713105079805,0.112090189972392,"Feminino"
2018,90,0.18948483394172,0.185594719195237,0.183855219830202,0.189189642057707,"Feminino"
2019,0,0.0111103224066213,0.0104252509093067,0.00995614899684204,0.0109696853833851,"Feminino"
2019,1,0.000453608731871652,0.000438862638262147,0.000426351294533913,0.000465441708785311,"Feminino"
2019,5,0.000199794835854555,0.000209503715323064,0.000200018956420403,0.000214068600064464,"Feminino"
2019,10,0.000235980942429495,0.00024998517139897,0.000244989646874141,0.000254694394362103,"Feminino"
2019,15,0.000434945639354972,0.000456975265594578,0.000444007389508838,0.000470599896158546,"Feminino"
2019,20,0.000563196357972926,0.000546017639290994,0.000532986048938238,0.000560125718239365,"Feminino"
2019,25,0.00064903775830651,0.000682651468801875,0.000669613918874217,0.000699353284009962,"Feminino"
2019,30,0.000866968182597344,0.000915071955581692,0.000896733207197202,0.00093269164820747,"Feminino"
2019,35,0.00122439416012776,0.00126042451437089,0.00123701252157821,0.00128041553300606,"Feminino"
2019,40,0.00179304912418173,0.00182417299640617,0.00176804029940919,0.00185618255773178,"Feminino"
2019,45,0.0026200045734876,0.00263897370606147,0.00258416085211226,0.00268725040985209,"Feminino"
2019,50,0.00387039092366507,0.00386512191770743,0.00376543390502033,0.00395515894627215,"Feminino"
2019,55,0.00580131979469859,0.00571046208483002,0.00558028192766325,0.00587254817566731,"Feminino"
2019,60,0.00902671271826715,0.00852853436974468,0.00825607577261861,0.00887416994977533,"Feminino"
2019,65,0.0139665044856013,0.0135623300850311,0.0133244367691551,0.0138448341698788,"Feminino"
2019,70,0.0200358084091665,0.0197189801942657,0.0192489989728481,0.0202575032101408,"Feminino"
2019,75,0.0350597318216264,0.0345364762049674,0.0340731644230812,0.0352895315971379,"Feminino"
2019,80,0.0618696550980124,0.0612933685591066,0.060316247904003,0.0620744415341224,"Feminino"
2019,85,0.10801321877769,0.109237197976776,0.106854413407198,0.111196604065283,"Feminino"
2019,90,0.18999329825546,0.185207912891172,0.183472038895023,0.188795343413172,"Feminino"
2016,0,0.0135205973397519,0.0138772105344763,0.0133586231834694,0.0143299569213996,"Masculino"
2016,1,0.000547895048028866,0.000559426925969214,0.000529045933918152,0.000602988810753134,"Masculino"
2016,5,0.000254574544624785,0.000279397209077738,0.000259128170290748,0.000286433203544984,"Masculino"
2016,10,0.000379603233180083,0.000411497915520761,0.000396659283171118,0.000422559443065124,"Masculino"
2016,15,0.00214515092977761,0.00205688272502395,0.00198227823798557,0.00216264035447403,"Masculino"
2016,20,0.00289378198862237,0.00289444125493812,0.00284433254950353,0.0029605678775036,"Masculino"
