"sexo","idade","ano","previsto","inferior","superior","observado"
"Feminino",0,2016,0.0112686576682621,0.0109911089970287,0.0115532150285117,0.0112441653700822
"Feminino",1,2016,0.00046575073429041,0.000454240733075601,0.000477552387306385,0.000482658039132429
"Feminino",5,2016,0.000214752736277187,0.000212058764813468,0.000217480931661118,0.000202804625956757
"Feminino",10,2016,0.000249931492112239,0.000247611958794324,0.000252272753923557,0.000244120631469099
"Feminino",15,2016,0.000471553905825968,0.000468642418363779,0.000474483481192517,0.00046653646507089
"Feminino",20,2016,0.00055809601444521,0.000553876272848574,0.000562347904411464,0.000560695295280403
"Feminino",25,2016,0.000674527482188412,0.000668087429578591,0.000681029613915097,0.000670650802859736
"Feminino",30,2016,0.000907624891603511,0.000899018624266697,0.000916313546374216,0.000903234177756624
"Feminino",35,2016,0.00127831419324968,0.00126553400271402,0.00129122344651284,0.00129813036448878
"Feminino",40,2016,0.00187904095028083,0.00185949884779427,0.00189878842733378,0.0018801837204144
"Feminino",45,2016,0.00278447039479615,0.0027533040134559,0.00281598956802611,0.00276913102869272
"Feminino",50,2016,0.00409748622792467,0.00405153183165801,0.00414396186075665,0.00410540216228509
"Feminino",55,2016,0.00611240741553763,0.00604611020935544,0.00617943158821486,0.00613897417303654
"Feminino",60,2016,0.00915934207507161,0.00905292472197061,0.0092670103667796,0.00934098078133144
"Feminino",65,2016,0.0143798981331618,0.0142348661382764,0.014526407787151,0.0143617906818095
"Feminino",70,2016,0.0208955563254363,0.0207361193750815,0.021056219162886,0.0209030466156008
"Feminino",75,2016,0.036492658452071,0.0362403188975348,0.03674675503449,0.0364720048033259
"Feminino",80,2016,0.0638194323616208,0.0634709364616099,0.0641698417262676,0.0633300542074554
"Feminino",85,2016,0.111285659733419,0.1108551187669,0.111717872842153,0.111580109134992
"Feminino",90,2016,0.185297065367486,0.185172796875562,0.185421417255342,0.190299559143387
"Feminino",0,2017,0.0107150339113019,0.010332496565682,0.0111117338380429,0.0118457403996224
"Feminino",1,2017,0.000442792821524633,0.000426931937864666,0.000459242950467426,0.000490680211321701
"Feminino",5,2017,0.000209345560135243,0.000205528350760835,0.000213233665263713,0.000196982846615696
"Feminino",10,2017,0.000245268066686105,0.000241956945290158,0.000248624499965476,0.000244127193706332
"Feminino",15,2017,0.000465691038265791,0.000461505550220879,0.000469914485356192,0.000455357438602881
"Feminino",20,2017,0.000549604741489421,0.000543557550882844,0.000555719208347008,0.000557609350752891
"Feminino",25,2017,0.00066158151637689,0.000652393940846956,0.000670898479288946,0.000656820426420847
"Feminino",30,2017,0.000890323763982819,0.000878043980148972,0.000902775285331431,0.000885300082678025
"Feminino",35,2017,0.00125262903982252,0.00123441505462927,0.00127111177518644,0.00126506929479191
"Feminino",40,2017,0.0018397740566003,0.00181194861385904,0.00186802680465133,0.00184222125357385
"Feminino",45,2017,0.0027218717306507,0.00267757469488602,0.00276690160400205,0.00272302739757205
"Feminino",50,2017,0.00400518642474549,0.00393987437741372,0.00407158116231509,0.00402321274511456
"Feminino",55,2017,0.00597922370586488,0.00588492067591455,0.00607503789661882,0.00599354483113515
"Feminino",60,2017,0.00894564609790587,0.00879454050501343,0.00909934794926007,0.00922338322135395
"Feminino",65,2017,0.0140884313591726,0.0138817769705097,0.0142981621577537,0.0141235800508043
"Feminino",70,2017,0.0205747369921863,0.0203462883021375,0.0208057507104707,0.0205736387689359
"Feminino",75,2017,0.0359847143531057,0.03562256422616,0.0363505462114847,0.035936673507818
"Feminino",80,2017,0.0631174093426799,0.0626156104242165,0.0636232296569721,0.0625697982042192
"Feminino",85,2017,0.110417656018797,0.109795487140876,0.111043350488915,0.109264525517984
"Feminino",90,2017,0.185046121069769,0.184865243269901,0.185227175846,0.188929447183116
"Feminino",0,2018,0.0101886094245027,0.00973234960255055,0.0106662590478522,0.0115660615701648
"Feminino",1,2018,0.000420966556483177,0.000402052506159588,0.000440770394319995,0.00047500172266825
"Feminino",5,2018,0.000204074529191433,0.000199396185898879,0.000208862638354704,0.000195505270313915
"Feminino",10,2018,0.00024069165525137,0.000236603885794408,0.000244850048481382,0.000239960725398453
"Feminino",15,2018,0.000459901064208571,0.000454697981723093,0.00046516368526347,0.000446617361625855
"Feminino",20,2018,0.000541242660849189,0.000533748402088759,0.000548842145056944,0.000556124308511958
"Feminino",25,2018,0.000648884017877997,0.000637548174766011,0.000660421416486721,0.000644719598209975
"Feminino",30,2018,0.000873352430112515,0.000858199141907347,0.00088877328109212,0.000868724351469502
"Feminino",35,2018,0.00122745997790874,0.0012050096968312,0.00125032852542992,0.00123483820321334
"Feminino",40,2018,0.00180132773521177,0.00176706129668336,0.00183625866048527,0.00179901836688201
"Feminino",45,2018,0.00266068036922253,0.00260622600184584,0.00271627250367095,0.00265208163112524
"Feminino",50,2018,0.00391496576306748,0.00383468163730046,0.00399693074306434,0.00392767109644891
"Feminino",55,2018,0.00584894194616312,0.00573292542144169,0.00596730628339194,0.00586148485455785
"Feminino",60,2018,0.00873693584681987,0.00855135816791124,0.00892654084796584,0.00910904821087955
"Feminino",65,2018,0.0138028723377664,0.0135482033188109,0.0140623284349558,0.0139593239896324
"Feminino",70,2018,0.0202588433494986,0.0199757714360617,0.0205459266078006,0.0202665618718869
"Feminino",75,2018,0.035483840366832,0.0350343834367019,0.035939063390503,0.0354036264134805
"Feminino",80,2018,0.0624231086788414,0.0617983202748865,0.0630542137682333,0.06206141626521
"Feminino",85,2018,0.109556422542591,0.108779019869781,0.11033938101942,0.108082008616847
