sexo,idade,ano,observado,previsto,lower,upper
Ambos,0,2016,0.0124091232661057,0.01171976531491319,0.011435774525748035,0.012039422565671188
Ambos,1,2016,5.1606012802238e-4,4.8971399634309e-4,4.7439718619358734e-4,5.099178865739704e-4
Ambos,5,2016,2.2929532132513e-4,2.1833424704361e-4,2.1154489805439968e-4,2.2463130921108158e-4
Ambos,10,2016,3.1336734469505e-4,2.721822448582157e-4,2.531055363738208e-4,2.995256893623211e-4
Ambos,15,2016,0.00131539525181774,7.150680401232129e-4,4.6686747899106755e-4,0.0010808094549135823
Ambos,20,2016,0.00172517101099002,8.941273453324385e-4,5.631030111015595e-4,0.001225738476251946
Ambos,25,2016,0.00166855316511309,9.776601160791686e-4,6.919920491864432e-4,0.0012642945469532975
Ambos,30,2016,0.00179273160027578,0.001181634223674163,9.283411575631837e-4,0.0014353595966344983
Ambos,35,2016,0.0021815195706889,0.0015640921175416513,0.0013047337359405442,0.0018272548454535775
Ambos,40,2016,0.00288930355316909,0.0021993316047360157,0.0019109174650377397,0.0024959949320873718
Ambos,45,2016,0.00406083791787735,0.0031827193670215088,0.0028152819864335817,0.003553387670601837
Ambos,50,2016,0.00587044792675991,0.004622370015828148,0.00411589291293798,0.00536229309249012
Ambos,55,2016,0.0085739829208881,0.006857289934907832,0.006124497682975153,0.007927871222039917
Ambos,60,2016,0.0127050233325653,0.010170977235189085,0.00911210245559427,0.01168420430617002
Ambos,65,2016,0.0187762112220789,0.01553761271332357,0.014296752766314199,0.017358116772322636
Ambos,70,2016,0.0270010199312401,0.022516606606567555,0.020671904940032543,0.024364491139671558
Ambos,75,2016,0.0438231805970066,0.03837800630272287,0.03610601203510913,0.04068122163652914
Ambos,80,2016,0.0717859630185064,0.06587574203580414,0.06346989377755873,0.0684059594038107
Ambos,85,2016,0.120666463901105,0.11480695216129366,0.11190374128723332,0.11866619479648886
Ambos,90,2016,0.1983476136475,0.18950253952473614,0.18657052185517234,0.1928538453687865
Ambos,0,2017,0.012863715851619,0.01130868500256589,0.01102877770640413,0.011576100099058215
Ambos,1,2017,5.2108365679339e-4,4.7719114330324716e-4,4.568355175742387e-4,4.971561592263357e-4
Ambos,5,2017,2.2494156148534e-4,2.1387140814599858e-4,2.0766760519774796e-4,2.1911267543112462e-4
Ambos,10,2017,3.0549625760623e-4,2.681574051990171e-4,2.5003290064795294e-4,2.867520805356254e-4
Ambos,15,2017,0.00128021518482542,7.134739591806471e-4,4.6209222877834435e-4,9.651217048903955e-4
Ambos,20,2017,0.00171512945491359,8.902434583695185e-4,5.57102114250509e-4,0.0012239499056730528
Ambos,25,2017,0.00163202672975874,9.721778177985914e-4,6.864886149947015e-4,0.0012596936830379679
Ambos,30,2017,0.00174428604743515,0.0011671659134241843,9.204717579473364e-4,0.0014166962113167007
Ambos,35,2017,0.0021204861400715,0.0015408249246191814,0.0012926361012627768,0.001809512594623497
Ambos,40,2017,0.00280809373275127,0.002165935807398673,0.001885685902152135,0.002446225952445188
Ambos,45,2017,0.00396083809869948,0.0031228344986804473,0.0027624641901446804,0.003634229556185873
Ambos,50,2017,0.00575135191609925,0.004548879755952387,0.004055820053292857,0.005071732551352661
Ambos,55,2017,0.00838941690311158,0.006739142584706686,0.005989078686489258,0.007499822219575177
Ambos,60,2017,0.0125794312033981,0.010013507225745061,0.008918739151972978,0.011453797470589186
Ambos,65,2017,0.0185197840392794,0.015261657475232693,0.014043921445376008,0.017009511427834773
Ambos,70,2017,0.0265915836765864,0.022215390437598924,0.020377960084064145,0.024751159948277663
Ambos,75,2017,0.0432529318596678,0.03790594287640344,0.03564295350920379,0.04030226331396764
Ambos,80,2017,0.0710435754189944,0.06520686436651213,0.0628258890433601,0.06767513390600277
Ambos,85,2017,0.118452282287798,0.11425968818089448,0.11127993656700721,0.11747225373027792
Ambos,90,2017,0.19793032230377,0.18930739686450138,0.1865718010619508,0.19234011483828614
Ambos,0,2018,0.0125961118672796,0.01089643903118815,0.010598554427443055,0.011165353452922718
Ambos,1,2018,5.126282722942e-4,4.649388276422329e-4,4.415850163313047e-4,4.894062831337025e-4
Ambos,5,2018,2.2241249852167e-4,2.1001087166014286e-4,2.0465909910138215e-4,2.141460222449427e-4
