"idade","ano","previsto","inferior","superior","sexo","observado"
0,"2016",0.0117138769042545,0.0114253556766727,0.0120096840755846,"Feminino",0.0112441653700822
1,"2016",0.000514596454304439,0.000476236249641713,0.000556046523090011,"Feminino",0.000482658039132429
5,"2016",0.000201804664660157,0.000189984434081101,0.000214360312599155,"Feminino",0.000202804625956757
10,"2016",0.000252431396344567,0.000245419646276,0.000259643475277468,"Feminino",0.000244120631469099
15,"2016",0.000454290478704786,0.000434614774971803,0.000474856932913091,"Feminino",0.00046653646507089
20,"2016",0.000568839465519706,0.000554093349746445,0.000583978020455967,"Feminino",0.000560695295280403
25,"2016",0.000701918948218159,0.000674629738152266,0.000730312024514528,"Feminino",0.000670650802859736
30,"2016",0.000936041285614712,0.000909425683821332,0.00096343582984553,"Feminino",0.000903234177756624
35,"2016",0.00136713313410318,0.00128533211690908,0.00145414012594459,"Feminino",0.00129813036448878
40,"2016",0.00193670914381293,0.00187866463339303,0.00199654703721882,"Feminino",0.0018801837204144
45,"2016",0.00281634030519815,0.00278117518599712,0.00285195005140961,"Feminino",0.00276913102869272
50,"2016",0.00422814508645228,0.00408913506154313,0.00437188075302757,"Feminino",0.00410540216228509
55,"2016",0.00626606959263264,0.00613048088954754,0.00640465713002381,"Feminino",0.00613897417303654
60,"2016",0.00944650183685993,0.0091886836171191,0.00971155398010929,"Feminino",0.00934098078133144
65,"2016",0.0144911914040873,0.0143346665759208,0.0146494253771231,"Feminino",0.0143617906818095
70,"2016",0.0210934327053738,0.0207774245782924,0.0214142470651048,"Feminino",0.0209030466156008
75,"2016",0.0367626109419027,0.0364528480379168,0.0370750060971898,"Feminino",0.0364720048033259
80,"2016",0.0644314196992052,0.0635055076661219,0.0653708315549733,"Feminino",0.0633300542074554
85,"2016",0.112231724423061,0.111032326334365,0.113444078700487,"Feminino",0.111580109134992
90,"2016",0.19061231262271,0.184888207606365,0.196513634881097,"Feminino",0.190299559143387
0,"2017",0.0114358153489878,0.011134608368475,0.0117451704063892,"Feminino",0.0118457403996224
1,"2017",0.000505436765456162,0.000466120762999392,0.000548068964426544,"Feminino",0.000490680211321701
5,"2017",0.00019920852105344,0.000186518034920107,0.000212762454190004,"Feminino",0.000196982846615696
10,"2017",0.000250359450606255,0.000242735893868642,0.000258222438836284,"Feminino",0.000244127193706332
15,"2017",0.000448535051167873,0.000427074429908157,0.00047107407523656,"Feminino",0.000455357438602881
20,"2017",0.000564669609287387,0.000547903047489117,0.000581949250171133,"Feminino",0.000557609350752891
25,"2017",0.000697195478723295,0.000668833891719223,0.000726759725501862,"Feminino",0.000656820426420847
30,"2017",0.000926861946484934,0.000898423302316175,0.000956200786007121,"Feminino",0.000885300082678025
35,"2017",0.00135819629023274,0.00127415244671413,0.00144778371501716,"Feminino",0.00126506929479191
40,"2017",0.00191975200073696,0.0018585202806234,0.00198300109111392,"Feminino",0.00184222125357385
45,"2017",0.00278738793640643,0.00275052789164553,0.0028247419455819,"Feminino",0.00272302739757205
50,"2017",0.00419663068875223,0.00405141340309382,0.00434705308629528,"Feminino",0.00402321274511456
55,"2017",0.00620448451574299,0.00606360282456947,0.00634863945080832,"Feminino",0.00599354483113515
60,"2017",0.00935766512787715,0.00909027978271024,0.00963291545899818,"Feminino",0.00922338322135395
65,"2017",0.0143801802972488,0.0142132591102017,0.0145490618146093,"Feminino",0.0141235800508043
70,"2017",0.0209518080269157,0.0206131403592011,0.0212960399020803,"Feminino",0.0205736387689359
75,"2017",0.0365671108310798,0.0362311004227361,0.0369062374294702,"Feminino",0.035936673507818
80,"2017",0.0641965737529548,0.06313896406793,0.0652718989368378,"Feminino",0.0625697982042192
85,"2017",0.111718580585489,0.110256898954385,0.113199639808481,"Feminino",0.109264525517984
