sexo,idade,ano,observado,previsao_combinada,ARIMA,ETS,FDM,LC,CNNGRU,CNN,GRU
Ambos,0,2016,0.0124091232661057,0.012624222643201816,0.0123130580217897,0.0123072515921282,0.0125687986471502,0.0121756063494997,0.0133056611182799,0.0124628465710863,0.0140314368716299
Ambos,1,2016,0.0005160601280223,0.0005192232740408899,0.0005261243359908,0.0005122376197569,0.0005522553926416,0.0004927231859125,0.00051687935350957,0.00056104987389246,0.00056195854834995
Ambos,5,2016,0.0002292953213251,0.0002352228335283373,0.0002299852394036,0.0002301562215181,0.0002264364070369,0.0002420183610101,0.00024891572079751,0.00024815395621156,0.00025275870166599
Ambos,10,2016,0.000313367344695,0.0003263831491956191,0.0003205331108883,0.0003174864805373,0.0003278844026935,0.0003254405562163,0.00032606929072548,0.00032996960663238,0.00034378762462301
Ambos,15,2016,0.0013153952518177,0.0012820993903740721,0.0013318260135991,0.0013314149902805,0.0013005543112748,0.0012646835601221,0.0012090336891104,0.0012117806023167,0.0012571787020974
Ambos,20,2016,0.00172517101099,0.001723673958303422,0.0017184696067195,0.0017184680607986,0.0017536885307463,0.001667923702708,0.0016920742653321,0.0017132292893405,0.0017348727564988
Ambos,25,2016,0.001668553165113,0.0017027181855518534,0.0016862885918479,0.0016862650467096,0.0017226193933262,0.0016448032049493,0.0017249681022064,0.0017067941823825,0.0017157859938454
Ambos,30,2016,0.0017927316002757,0.001856849263239333,0.0018101226905985,0.0018079569813797,0.0018897556894675,0.0018074977331853,0.0018849829088195,0.0018943957353597,0.0018544069103612
Ambos,35,2016,0.0021815195706889,0.002205456604305819,0.0021912375664499,0.0021908057968294,0.0022670047794391,0.0022045047042554,0.0022080967258028,0.002196042955516,0.0022228333933113
Ambos,40,2016,0.002889303553169,0.0029386262044957005,0.0029030954659777,0.0029022316160459,0.0030365406612441,0.0029505950010449,0.0029174695170166,0.0030306072161932,0.0029675335316531
Ambos,45,2016,0.0040608379178773,0.004114857598170892,0.0040909977991526,0.0040816356222759,0.0041631727275653,0.0041291402923255,0.0040936367770207,0.0040758807733568,0.0041429245834143
Ambos,50,2016,0.0058704479267599,0.005899377141854845,0.0058708049282715,0.0058706302829473,0.0061207719212667,0.0059531573026255,0.0059510082988457,0.0059056594235703,0.0060324333712177
Ambos,55,2016,0.0085739829208881,0.00864345885686902,0.0086694853384882,0.0086592019796487,0.0089257429194593,0.0086132131447241,0.0086732152728957,0.0083978341423845,0.0084623789566487
Ambos,60,2016,0.0127050233325653,0.01272075752750438,0.0127927814888446,0.0126438763684305,0.0128669646847462,0.0124177916660362,0.0129419535631257,0.0126169040569061,0.0125669238916974
Ambos,65,2016,0.0187762112220789,0.018624885698202396,0.0185913482814899,0.0185799377991276,0.0190309672010901,0.0186375165136974,0.0188767412283193,0.0180485660736124,0.0187654812626103
Ambos,70,2016,0.0270010199312401,0.027011215293450762,0.0269536867041191,0.0269783281822904,0.0277432132159725,0.0270505794922862,0.0269438546269161,0.0270585790474018,0.0273848606137202
Ambos,75,2016,0.0438231805970066,0.043786167216192495,0.0438534214567157,0.0437886077456702,0.0434473059513098,0.0440335274532885,0.0428143202965038,0.0438081812396406,0.0445641268799601
Ambos,80,2016,0.0717859630185064,0.07215931036965055,0.0715358773073691,0.0715360908044204,0.0742206078316717,0.0725672901450114,0.0724310426040594,0.0734787929286779,0.0737946494333824
Ambos,85,2016,0.120666463901105,0.12249212840295323,0.121472045925665,0.12218057945687,0.12097509897886,0.120604043515228,0.1222608218695145,0.122590513293275,0.1240668907066018
Ambos,90,2016,0.1983476136475,0.19363345173521473,0.194889308350419,0.196228686753152,0.195643439850664,0.192898728585575,0.1928024678172537,0.1923310594837286,0.1925752907604044
Ambos,0,2017,0.012863715851619,0.01230295991879565,0.0117862732764137,0.0117743392869803,0.0120574504344584,0.0115362205066493,0.0129014257725651,0.0136850159432267,0.0143738022333089
Ambos,1,2017,0.0005210836567933,0.0005034041531778396,0.000520779908234,0.0004977868894944,0.0005381013573485,0.0004678892505382,0.00050424246400569,0.00053651455489931,0.00055423985552643
Ambos,5,2017,0.0002249415614853,0.0002291050164742076,0.0002230086389536,0.0002232442875725,0.0002207826399855,0.0002349870404115,0.00024221965822145,0.0002477831325941,0.0002521911484731
Ambos,10,2017,0.0003054962576062,0.00032235154447933734,0.0003144268862797,0.0003083398208457,0.0003255533484709,0.0003197787554693,0.00032519282729806,0.00033188140188366,0.00033990125126167
Ambos,15,2017,0.0012802151848254,0.0012818685966336405,0.0013374790122755,0.0013366542386766,0.001302698221473,0.0012669154836892,0.0011863691102815,0.0012107407326759,0.0012549792587683
Ambos,20,2017,0.0017151294549135,0.001721048664432136,0.0017184696067195,0.0017184680607986,0.0017685543640771,0.0016580671785406,0.0016754316768113,0.0016951247617719,0.0017322555211161
Ambos,25,2017,0.0016320267297587,0.0016897064910334227,0.0016797491891902,0.0016797099584352,0.0017224544717694,0.0016222643499262,0.0016979793582814,0.0016868889265991,0.001729413789114
Ambos,30,2017,0.0017442860474351,0.0018326983109005063,0.0017797126460669,0.001776015666021,0.0018855120817062,0.0017749082940088,0.0018528842482102,0.0018570939348632,0.0018535501873622
Ambos,35,2017,0.0021204861400715,0.0021743019730144464,0.0021448338027598,0.0021439892883084,0.0022473225352674,0.0021590873210608,0.0021863464874447,0.0021982543016148,0.0021970610739777
Ambos,40,2017,0.0028080937327512,0.0028828159742904495,0.0028385386928424,0.0028387072974042,0.0030148881952288,0.0028882488714257,0.0028539252439394,0.003013736518764,0.0029400062877017
Ambos,45,2017,0.0039608380986994,0.004037974510531583,0.0040080164317457,0.0039931667280526,0.0041114310047456,0.0040399431622457,0.0040171547556514,0.0040795758398186,0.0041086387918258
Ambos,50,2017,0.0057513519160992,0.005787200575055003,0.0057481340001037,0.0057477966485722,0.0060689853548306,0.0058326387966444,0.0058782473482328,0.0058471781582646,0.0059686675898312
Ambos,55,2017,0.0083894169031115,0.008545008680391358,0.0085666038446464,0.0085462980586948,0.0088603128654255,0.008449947623364,0.0085692538398846,0.0084613810207936,0.0084192425247645
Ambos,60,2017,0.0125794312033981,0.012529288737341913,0.0127570811927127,0.012461849155914,0.0127358216941448,0.0121631307128971,0.0126551335306475,0.0128825199501733,0.0123065488549011
Ambos,65,2017,0.0185197840392794,0.01838007772564035,0.0182413969314015,0.0182190421348818,0.0188151031072956,0.0182798167724836,0.0185584414303944,0.0189735369068209,0.0186737368661306
Ambos,70,2017,0.0265915836765864,0.026648561845074796,0.0265463576754678,0.0265949303765512,0.027613550803924,0.0266484750261698,0.0265649037230682,0.0270596441042549,0.0272989982414929
Ambos,75,2017,0.0432529318596678,0.04333909100434659,0.0433372486278119,0.0432345814808299,0.0429351006341056,0.0434408354548869,0.0427665764040538,0.0441185337809961,0.0443809256136447
Ambos,80,2017,0.0710435754189944,0.07150518594249741,0.0706927727530852,0.0706932313493054,0.0739947603152769,0.0718217985063046,0.0716735538934477,0.0735901412951455,0.0741379485236417
Ambos,85,2017,0.118452282287798,0.12220065462775002,0.120767687764373,0.12218057945687,0.120504181957739,0.119806817110791,0.1215398225681668,0.1229782218983087,0.1238102805034526
Ambos,90,2017,0.19793032230377,0.19338351722343666,0.193935078431796,0.196228686753152,0.195563362401095,0.192766898365086,0.1924542335097412,0.1922998968752924,0.192258992385661
Ambos,0,2018,0.0125961118672796,0.011901002308643965,0.0112820257567593,0.0112645024445263,0.0115513751077199,0.0109304111645745,0.0126109057121862,0.0137679036801767,0.0145168007442324
Ambos,1,2018,0.0005126282722942,0.0004896778702838209,0.0005154897697509,0.0004845807706337,0.0005239591068676,0.0004443069801227,0.00049033420126684,0.00050547810230286,0.00057707690417804
Ambos,5,2018,0.0002224124985216,0.00022349794383752104,0.000216243673624,0.0002165399292925,0.0002153699292541,0.0002281599996416,0.00023684110364144,0.00024700073517874,0.00025615907654428
