ano,idade,observado,previsto,IC_lower,IC_upper
2016,0,0.012409123266105715,0.013305661118279978,0.012865514663770282,0.013655336381522831
2016,1,0.0005160601280223802,0.0005168793535095796,0.0004981542926026584,0.0005345414166406908
2016,5,0.00022929532132513349,0.0002489157207975168,0.00024032634724109595,0.0002542289885405794
2016,10,0.00031336734469505543,0.00032606929072548086,0.000320613142493493,0.00033422084763115454
2016,15,0.0013153952518177444,0.0012090336891104718,0.0011512365813215525,0.0013065001913240776
2016,20,0.001725171010990026,0.0016920742653321816,0.0016277457631946313,0.0017265063730646372
2016,25,0.0016685531651130863,0.0017249681022064056,0.0016878170367557188,0.0017721280747726928
2016,30,0.0017927316002757728,0.0018849829088195503,0.0018563788084483839,0.0019085115704787696
2016,35,0.002181519570688902,0.0022080967258028554,0.0021721274695164984,0.0022495618640539484
2016,40,0.002889303553169092,0.002917469517016632,0.0029013694061380264,0.002957580315549166
2016,45,0.004060837917877356,0.004093636777020704,0.00398965382071322,0.004237482728094032
2016,50,0.0058704479267599,0.005951008298845709,0.0058656143587234024,0.006042862932653262
2016,55,0.008573982920888113,0.008673215272895793,0.008496368206524687,0.008931799828054492
2016,60,0.012705023332565247,0.012941953563125757,0.012607853550278564,0.013282882000882961
2016,65,0.018776211222078985,0.018876741228319328,0.01865686985828258,0.019219856619585297
2016,70,0.02700101993124008,0.02694385462691613,0.02644602347994786,0.027536817768199027
2016,75,0.04382318059700676,0.04281432029650386,0.04230278844523748,0.04425162512159707
2016,80,0.07178596301850604,0.07243104260405941,0.07142997077449731,0.0734506763847018
2016,85,0.12066646390110505,0.12226082186951452,0.11967827093315832,0.12347403895266076
2016,90,0.19834761364750061,0.19280246781725374,0.1907807303017728,0.19699668124695727
2017,0,0.012863715851618938,0.012901425772565105,0.012474651276999973,0.013240477655303347
2017,1,0.0005210836567933944,0.0005042424640056948,0.0004859752014689882,0.0005214727173949717
2017,5,0.0002249415614853411,0.00024221965822145608,0.00023386134673953452,0.0002473899941594205
2017,10,0.00030549625760622904,0.0003251928272980611,0.0003197513450113675,0.0003333224730894178
2017,15,0.001280215184825424,0.0011863691102815077,0.0011296554686667458,0.0012820085027607023
2017,20,0.001715129454913592,0.001675431676811368,0.0016117358849591582,0.0017095251236394907
2017,25,0.0016320267297587384,0.001697979358281449,0.0016614095560962714,0.0017444014688423645
2017,30,0.0017442860474351542,0.0018528842482102804,0.001824767236239519,0.0018760122491941929
2017,35,0.0021204861400714882,0.0021863464874447274,0.002150731536243221,0.002227403184964953
2017,40,0.002808093732751258,0.002853925243939457,0.002838175803337364,0.0028931624047114518
2017,45,0.003960838098699462,0.004017154755651401,0.003915114528296074,0.004158313211545467
2017,50,0.005751351916099239,0.005878247348232873,0.005793897490717723,0.005968978906733121
2017,55,0.008389416903111551,0.008569253839884603,0.008394526549613274,0.008824738873117117
2017,60,0.01257943120339815,0.012655133530647504,0.012328437854098423,0.012988506300312315
2017,65,0.018519784039279393,0.018558441430394465,0.01834227753358129,0.018895771206527835
2017,70,0.026591583676586303,0.026564903723068262,0.026074074304906776,0.027149527154927654
2017,75,0.04325293185966768,0.04276657640405381,0.04225561498159543,0.04420227843535017
2017,80,0.07104357541899435,0.07167355389344773,0.07068295134034697,0.07268252427549711
2017,85,0.11845228228779825,0.12153982256816685,0.11897250150997059,0.12274588503991792
2017,90,0.19793032230377072,0.19245423350974125,0.19043614759878402,0.19664087147100917
2018,0,0.012596111867279623,0.012610905712186218,0.01219374151507999,0.012942322673390893
2018,1,0.0005126282722942107,0.0004903342012668482,0.00047257079531703365,0.0005070892013637084
2018,5,0.00022241249852167068,0.00023684110364144,0.00022866839078034218,0.00024189663083826614
2018,10,0.000295022901989038,0.0003225892948428713,0.0003171913777105984,0.00033065385372304715
2018,15,0.0011948755911128112,0.001170724041167154,0.0011147583024058128,0.0012651022031469833
2018,20,0.0016520172752751319,0.0016562879496594706,0.0015933199552321405,0.0016899918397824299
2018,25,0.001571512507876084,0.0016686777944720595,0.0016327390673273408,0.0017142988114106448
2018,30,0.001693936461457904,0.001824189020644605,0.0017965074509081588,0.0018469588431551383
2018,35,0.002058252441133017,0.002149423809477828,0.0021144103180090637,0.0021897871479034958
2018,40,0.002728476621391145,0.0027985478401213043,0.002783104000772778,0.002837023645247645
2018,45,0.003834084010723324,0.003940321760006142,0.0038402331767424503,0.004078780387866019
2018,50,0.005616877864169405,0.005764637724994071,0.005681918107746954,0.0058536157032915035
2018,55,0.008178839905779545,0.008402025941660044,0.00823070843222384,0.008652525216980188
2018,60,0.012381398462238792,0.012362633727015257,0.012043489011584568,0.012688301207010295
2018,65,0.018276853887193537,0.018229155945344022,0.01801682748017953,0.01856050042366169
2018,70,0.02614739132393038,0.02617569064420995,0.025692052565080913,0.026751748523253537
2018,75,0.04262508812138468,0.04242133490571822,0.041914498318631636,0.04384544695338427
2018,80,0.07042330501603314,0.07102145079786996,0.07003986098316814,0.0720212413266298
2018,85,0.11712151142001091,0.12058695158688117,0.11803975829984918,0.12178355854103594
2018,90,0.19868331069822187,0.19213638376405504,0.19012163084339828,0.1963161072408401
2019,0,0.012214251600690135,0.012250094855194016,0.01184486615066061,0.012572029639581012
2019,1,0.0005085870599123781,0.0004791536442730702,0.0004617952779311647,0.0004955265983428948
2019,5,0.00022203587109787128,0.0002320462811255021,0.00022403902395195255,0.00023699945972125908
2019,10,0.0002864856223767208,0.0003200936981988108,0.0003147375401208388,0.0003280958685050354
2019,15,0.0010596521808967226,0.0011598364179332883,0.0011043911552672612,0.0012533368719025116
2019,20,0.0015290337280670075,0.0016405015170389498,0.0015781336839552306,0.0016738841682187742
2019,25,0.0014902821111221769,0.0016421489152003063,0.0016067815471021102,0.0016870446426584238
2019,30,0.0016439908450916478,0.001795505713155574,0.0017682594047695383,0.0018179175059810533
2019,35,0.002000839419999513,0.0021184879805188675,0.002083978424746059,0.00215827038496202
2019,40,0.0026709681868315634,0.0027534980168042317,0.0027383027857603433,0.002791354454915265
2019,45,0.003753701349202453,0.0038764584762236596,0.003777992091852767,0.004012673017640419
2019,50,0.005537061781595265,0.005655003775725193,0.005573857349848193,0.00574228953889584
2019,55,0.00808833815876146,0.008256843636440706,0.008088486397672212,0.008503014424500839
2019,60,0.012232918491965374,0.01213679620550873,0.011823481546450033,0.012456514472889257
2019,65,0.0182329517186817,0.017984453121115507,0.017774974890775144,0.01831134972867712
2019,70,0.025840276053695,0.02587685195038083,0.025398735397839853,0.026446333178344487
2019,75,0.042263628146681755,0.042040790175757486,0.04153850021580074,0.04345212708714323
2019,80,0.07009011704517698,0.07047690666295901,0.06950284301071204,0.07146903147857925
2019,85,0.11728074814684247,0.11969980737340812,0.11717135349188768,0.12088761102902008
2019,90,0.19948886904578564,0.1917748574066908,0.18976389547173975,0.19594671626057752
