ano,idade,observado,previsto,inferior,superior,sexo
2016,0,0.01124416537008222,0.01147123216913209,0.01112531561879532,0.01187721370940626,Feminino
2016,1,4.8265803913242e-4,4.6776339489753e-4,4.521736922463e-4,4.9078637362305e-4,Feminino
2016,5,2.0280462595675e-4,2.2097500138921e-4,2.0898540166546e-4,2.267690364495e-4,Feminino
2016,10,2.4412063146909e-4,2.5375572800102e-4,2.471314734794e-4,2.6203364040619e-4,Feminino
2016,15,4.6653646507089e-4,4.7357542384284e-4,4.5785485001413e-4,4.8927967895079e-4,Feminino
2016,20,5.606952952804e-4,5.6619971370652e-4,5.4854689160869e-4,5.8772229638864e-4,Feminino
2016,25,6.7065080285973e-4,6.9495292804744e-4,6.8163242828942e-4,7.1606645179467e-4,Feminino
2016,30,9.0323417775662e-4,9.339891182108e-4,9.0977803150457e-4,9.5693118028798e-4,Feminino
2016,35,0.00129813036448878,0.00129210025615993,0.00125196790022547,0.00133038059328337,Feminino
2016,40,0.0018801837204144,0.00193012314819388,0.00187235116423819,0.0019798354166304,Feminino
2016,45,0.00276913102869273,0.00283383492134127,0.00278461319751217,0.0029164423564082,Feminino
2016,50,0.00410540216228508,0.00410697258877138,0.00402598558024153,0.00424714221075671,Feminino
2016,55,0.00613897417303655,0.00608402139495643,0.00598386466935571,0.0062190796499703,Feminino
2016,60,0.00934098078133145,0.00896399074201741,0.00878573679867944,0.00920682308841052,Feminino
2016,65,0.01436179068180956,0.01414801658037963,0.01389536060718567,0.01439784567979332,Feminino
2016,70,0.0209030466156007,0.02045445476537551,0.01993324217960921,0.02096661970016745,Feminino
2016,75,0.03647200480332577,0.03580059028373597,0.035384844482273733,0.03636551013446342,Feminino
2016,80,0.06333005420745563,0.06318634133242788,0.06209573209997185,0.06434008056358669,Feminino
2016,85,0.11158010913499242,0.11194851312709564,0.10951333754366284,0.11436458554329049,Feminino
2016,90,0.19029955914338645,0.18664200735431843,0.1847406817958453,0.19009563355193665,Feminino
2017,0,0.01184574039962235,0.01106412922254639,0.01073048891636879,0.01145570287020116,Feminino
2017,1,4.906802113217e-4,4.5468754504083e-4,4.3953363666808e-4,4.7706693981695e-4,Feminino
2017,5,1.9698284661569e-4,2.1509506952157e-4,2.0342450149395e-4,2.2073493089172e-4,Feminino
2017,10,2.4412719370633e-4,2.5229074797285e-4,2.4570473653112e-4,2.6052087041701e-4,Feminino
2017,15,4.5535743860288e-4,4.6879557848003e-4,4.532336740166e-4,4.8434132892921e-4,Feminino
2017,20,5.5760935075289e-4,5.6208552840205e-4,5.4456097726498e-4,5.8345172122518e-4,Feminino
2017,25,6.5682042642084e-4,6.9164876058587e-4,6.783915934078e-4,7.1266189966624e-4,Feminino
2017,30,8.8530008267802e-4,9.3157409148133e-4,9.0742560766886e-4,9.5445683199676e-4,Feminino
2017,35,0.00126506929479191,0.00128587553221968,0.00124593651487143,0.00132397145290191,Feminino
2017,40,0.00184222125357384,0.00191506045823132,0.00185773932710522,0.00196438477189536,Feminino
2017,45,0.00272302739757206,0.00277752714198224,0.00272928344476441,0.00285849318248799,Feminino
2017,50,0.00402321274511457,0.00402429413475846,0.00394493749519643,0.00416164196833523,Feminino
2017,55,0.00599354483113513,0.00588391335379701,0.00578705085825693,0.00601452944118871,Feminino
2017,60,0.00922338322135394,0.00877811638922869,0.00860355866081369,0.00901591344425203,Feminino
2017,65,0.01412358005080436,0.01396626491298759,0.01371685466997381,0.01421288459748976,Feminino
2017,70,0.02057363876893597,0.02018353859518435,0.01966922939155221,0.0206889199826155,Feminino
2017,75,0.03593667350781808,0.03512639997138725,0.03471848342049111,0.03568068135253654,Feminino
2017,80,0.06256979820421943,0.06232511822951609,0.06124937388474678,0.06346313211782935,Feminino
2017,85,0.10926452551798424,0.11145576253463849,0.10903130557691992,0.11386120040928165,Feminino
2017,90,0.1889294471831157,0.18635848231624516,0.18446004503254465,0.18980686216277096,Feminino
2018,0,0.01156606157016485,0.01047551690475076,0.01015962628225628,0.01084625881158818,Feminino
2018,1,4.7500172266824e-4,4.327876295855e-4,4.1836360553837e-4,4.5408912623381e-4,Feminino
2018,5,1.9550527031391e-4,2.1237506858946e-4,2.0085208161046e-4,2.1794361066708e-4,Feminino
2018,10,2.3996072539845e-4,2.4838600573643e-4,2.4190192699438e-4,2.5648874932513e-4,Feminino
2018,15,4.4661736162585e-4,4.6434813594091e-4,4.4893386656424e-4,4.7974640455575e-4,Feminino
2018,20,5.5612430851195e-4,5.6051081207033e-4,5.430353570147e-4,5.8181714622234e-4,Feminino
2018,25,6.4471959820997e-4,6.799891467943e-4,6.6695546508758e-4,7.0064805248312e-4,Feminino
2018,30,8.687243514695e-4,9.1481187134896e-4,8.9109790176916e-4,9.3728287270456e-4,Feminino
2018,35,0.00123483820321334,0.00126544237818767,0.00122613801020704,0.00130293293715659,Feminino
2018,40,0.001799018366882,0.00189168288855305,0.00183506148924544,0.00194040508933102,Feminino
2018,45,0.00265208163112524,0.0027220999729158,0.00267481900672648,0.00280145028900687,Feminino
2018,50,0.0039276710964489,0.00394085481613331,0.00386314354932776,0.00407535489324284,Feminino
2018,55,0.00586148485455783,0.00574600715375736,0.0056514149055651,0.00587356188262911,Feminino
2018,60,0.00910904821087957,0.00850759310718408,0.00833841488474772,0.00873806175176799,Feminino
2018,65,0.01395932398963243,0.01357212028107101,0.01332974869220288,0.01381178006431274,Feminino
2018,70,0.02026656187188686,0.01974969254194344,0.019246438437351,0.02024421073413831,Feminino
2018,75,0.03540362641348065,0.03454663468546186,0.03414545084432124,0.03509176758843841,Feminino
2018,80,0.06206141626521011,0.06156141996530115,0.06049885720946705,0.0626854892473971,Feminino
