ano,idade,observado,previsto,inferior,superior,sexo
2016,0,0.01124416537008222,0.01125089479047922,0.01074464162601665,0.0118384465953665,Feminino
2016,1,4.8265803913242e-4,4.7054280010778e-4,4.5712830044951e-4,4.9904053306075e-4,Feminino
2016,5,2.0280462595675e-4,2.1508738104316e-4,2.0534983558219e-4,2.1977392849783e-4,Feminino
2016,10,2.4412063146909e-4,2.540783952868e-4,2.4900107470902e-4,2.5886472643926e-4,Feminino
2016,15,4.6653646507089e-4,4.6900198774453e-4,4.556928217591e-4,4.8298519274026e-4,Feminino
2016,20,5.606952952804e-4,5.6020198117672e-4,5.4683185866021e-4,5.7467655710386e-4,Feminino
2016,25,6.7065080285973e-4,6.9466758849066e-4,6.814005499183e-4,7.1166339121614e-4,Feminino
2016,30,9.0323417775662e-4,9.3702521619326e-4,9.1824650751918e-4,9.5506761842318e-4,Feminino
2016,35,0.00129813036448878,0.00132329574087204,0.00129871593462847,0.00134428393136976,Feminino
2016,40,0.0018801837204144,0.00189762667780578,0.00183923369450402,0.00193092516300209,Feminino
2016,45,0.00276913102869273,0.00281114009718227,0.00275275125790596,0.00286256636849141,Feminino
2016,50,0.00410540216228508,0.00407974048731197,0.00397451709976604,0.0041747770006778,Feminino
2016,55,0.00613897417303655,0.00608673413907062,0.00594797619004903,0.0062595003579706,Feminino
2016,60,0.00934098078133145,0.00908560359839599,0.00879534847328981,0.00945381550134622,Feminino
2016,65,0.01436179068180955,0.01430769892404543,0.01405673128660732,0.01460572908298366,Feminino
2016,70,0.0209030466156007,0.0205540141866529,0.02006413080539739,0.02111534188205549,Feminino
2016,75,0.03647200480332577,0.03586087640697393,0.03537979760641797,0.03664280986729455,Feminino
2016,80,0.06333005420745563,0.06327246170402435,0.06226379093451627,0.06407875463687364,Feminino
2016,85,0.11158010913499242,0.11221689769558,0.10976911711142576,0.11422975116171116,Feminino
2016,90,0.19029955914338645,0.186429384268051,0.18468206194678935,0.19004047438229357,Feminino
2017,0,0.01184574039962235,0.01097368363632062,0.01047990405965979,0.01154675873362206,Feminino
2017,1,4.906802113217e-4,4.5343992948488e-4,4.4051300811295e-4,4.8090185222116e-4,Feminino
2017,5,1.9698284661569e-4,2.1344240191469e-4,2.0377932878664e-4,2.1809310685406e-4,Feminino
2017,10,2.4412719370633e-4,2.5124055325277e-4,2.4621994207658e-4,2.5597342511083e-4,Feminino
2017,15,4.5535743860288e-4,4.6581005026698e-4,4.5259146390981e-4,4.7969808825436e-4,Feminino
2017,20,5.5760935075289e-4,5.5256164560046e-4,5.3937387199765e-4,5.6683880948493e-4,Feminino
2017,25,6.5682042642084e-4,6.9173566992393e-4,6.7852462630133e-4,7.0865974005329e-4,Feminino
2017,30,8.8530008267802e-4,9.2693789093831e-4,9.083613400493e-4,9.4478606191754e-4,Feminino
2017,35,0.00126506929479191,0.0013013763088952,0.00127720364927375,0.00132201684527471,Feminino
2017,40,0.00184222125357384,0.00188041828187392,0.00182255482821466,0.00191341480382114,Feminino
2017,45,0.00272302739757206,0.00274993680836028,0.00269281919316768,0.00280024344250189,Feminino
2017,50,0.00402321274511457,0.00400311959062131,0.00389987238522022,0.00409637123975495,Feminino
2017,55,0.00599354483113513,0.00595192595216378,0.00581624119594134,0.00612086576757767,Feminino
2017,60,0.00922338322135394,0.0088756948752895,0.00859214564286578,0.00923539981559891,Feminino
2017,65,0.01412358005080436,0.01393763237119103,0.01369315597521375,0.014227954023391,Feminino
2017,70,0.02057363876893597,0.0201970745621701,0.01971569846268241,0.02074865427866262,Feminino
2017,75,0.03593667350781808,0.03535881852697978,0.03488447490489453,0.03612980479652542,Feminino
2017,80,0.06256979820421943,0.06255285052934483,0.06155565158719673,0.06334997332104711,Feminino
2017,85,0.10926452551798424,0.11130393108227378,0.10887606498511682,0.11330040851190964,Feminino
