"Year","Country","0","1","5","10","15","20","25","30","35","40","45","50","55","60","65","70","75","80","85","90"
1950,"AUS",-3.80137648534108,-6.61508566501932,-7.45248245442381,-7.52394141840595,-7.23625934595417,-6.98032597181697,-6.85896511481271,-6.65311306060856,-6.18504929618065,-5.75402369109295,-5.37519841088399,-4.98204783724434,-4.60917820738563,-4.15345782671461,-3.65312628440812,-3.1393717237556,-2.59803055606366,-2.16021785170712,-1.63680910923023,-1.18172719537862
1951,"AUS",-3.77313100656153,-6.4377516497364,-7.54263355141811,-7.60090245954208,-7.3697907385787,-7.04701734631564,-6.84009663050832,-6.4759728625566,-6.22972173623224,-5.8464987768578,-5.39043265545584,-4.94204250263064,-4.60417068565501,-4.1509149137105,-3.66165346786034,-3.12265696712766,-2.57308234069173,-2.14549587775127,-1.63403802930233,-1.17557332980424
1952,"AUS",-3.84951780007675,-6.50897915902477,-7.48757377423508,-7.68428406848113,-7.45248245442381,-7.20886037176606,-6.91780561483564,-6.60027057923418,-6.25543009294245,-5.84996498483428,-5.38169897548709,-4.97623386737892,-4.59423024594976,-4.15856313454875,-3.66282191979465,-3.19320807811962,-2.60815961828741,-2.15450997492868,-1.65852312012459,-1.20297230399235
1953,"AUS",-3.85564267199204,-6.53619172254965,-7.52394141840595,-7.98656494035407,-7.30823284557926,-7.19543735143392,-7.00206595845338,-6.80339526365789,-6.35963387047245,-5.99547256850552,-5.42842605189506,-5.0011801353255,-4.64495105599994,-4.19438591640233,-3.72347089888356,-3.19760368959266,-2.63749854515127,-2.20409814627939,-1.69091915430198,-1.21491274436427
1954,"AUS",-3.92106375008029,-6.66089520105061,-7.64172445406234,-7.82404601085629,-7.48757377423508,-7.43538802106451,-7.00206595845338,-6.76799333660698,-6.28717879125703,-5.91821408536839,-5.46555328592395,-5.01765990903322,-4.69181799271376,-4.20572315020549,-3.72595846235536,-3.17677464884957,-2.65228442319635,-2.19131209058462,-1.70854027347731,-1.20597080698861
1955,"AUS",-3.9276443863311,-6.62257633674847,-7.68428406848113,-7.87533930524384,-7.5616817463888,-7.35404238161056,-7.3232707229438,-6.84009663050832,-6.45033043194326,-5.98349637745881,-5.51647337635121,-5.13110944756413,-4.72846840233258,-4.2370608644237,-3.72554343848553,-3.20843056700666,-2.67902552206159,-2.22989240760061,-1.71246781275364,-1.24415459395877
1956,"AUS",-3.90852911617389,-6.70074110959781,-7.92940652651412,-7.92940652651412,-7.52394141840595,-7.29341775979412,-7.13089883029635,-6.85896511481271,-6.4377516497364,-6.04909365994462,-5.53151125371575,-5.13449928131864,-4.71053070164592,-4.25029686399599,-3.71522342945354,-3.17773388153703,-2.64352730508671,-2.15813848862902,-1.65417380627549,-1.21787570949493
1957,"AUS",-3.93273604702569,-6.75075153017247,-7.84936381884058,-7.902007552326,-7.48757377423508,-7.35404238161056,-7.11847631029779,-6.81244509917781,-6.4377516497364,-6.00353712834225,-5.55192012534696,-5.19576077822294,-4.73527887133511,-4.27371049119042,-3.73933099761003,-3.22288384626574,-2.70635164446663,-2.21879556726436,-1.72979926910528,-1.25561603747777
1958,"AUS",-3.98620790361752,-6.86853456582886,-7.87533930524384,-7.95757740348081,-7.64172445406234,-7.41858090274813,-7.30823284557926,-6.93821448646685,-6.46950034805098,-6.03228654162824,-5.58599943899982,-5.13960567539322,-4.77833380499728,-4.29182036678773,-3.81944382413505,-3.26491976336961,-2.74699895124078,-2.28043228835291,-1.76714490846414,-1.2947271675944
1959,"AUS",-3.94713218254171,-6.87819647674059,-7.82404601085629,-8.11172808330807,-7.66277786326017,-7.48757377423508,-7.25024558792891,-6.86853456582886,-6.4377516497364,-6.04065479129875,-5.50411227952763,-5.17080404624908,-4.73755937403384,-4.30803295476556,-3.79202021303345,-3.24240036991516,-2.71643525763665,-2.23642289074038,-1.72917911404665,-1.22082992139236
1960,"AUS",-4.0179392310197,-6.80339526365789,-7.79935339826592,-8.0471895621705,-7.54263355141811,-7.46987419713568,-7.26443022292087,-6.91780561483564,-6.48248754357779,-6.0116672544255,-5.53657455567229,-5.20300718674371,-4.7771454507279,-4.29915715685159,-3.78450968512919,-3.29981476737355,-2.75687286579978,-2.26548200504254,-1.79793852030477,-1.24126858906963
1961,"AUS",-4.03758622840349,-6.93821448646685,-7.902007552326,-8.07893826048508,-7.66277786326017,-7.40205160079692,-7.20886037176606,-6.99113688792119,-6.52931884326189,-6.16581793425276,-5.65499231048677,-5.21030648922532,-4.84724174718782,-4.34203698645772,-3.82355435744054,-3.30470608147339,-2.75876471564671,-2.30960970793101,-1.81867855857932,-1.28370777234479
1962,"AUS",-4.02183787143535,-7.00206595845338,-7.92940652651412,-8.2170885989659,-7.60090245954208,-7.40205160079692,-7.3232707229438,-6.95904857336969,-6.54311216539423,-6.10127941311519,-5.62404750663735,-5.15681780427434,-4.81960179670028,-4.30877617293429,-3.83136510241069,-3.26204432026958,-2.74918474446077,-2.27419201849283,-1.79191948202942,-1.27815220250019
1963,"AUS",-4.04784272857068,-7.01311579463996,-7.92940652651412,-8.25482892694875,-7.6211051668596,-7.38579107992514,-7.22246602382184,-6.93821448646685,-6.4759728625566,-6.03228654162824,-5.61302811138774,-5.17609973382379,-4.76533893814091,-4.26941249030475,-3.8518690826084,-3.29359937106414,-2.7620840895947,-2.29441853032765,-1.80205225871349,-1.28370777234479
