"sexo","idade","RMSE","MAE","sMAPE"
"Ambos",0,0.000868372285536293,0.000782093647755728,6.49788562006231
"Ambos",1,2.08166645712696e-05,1.67086065922089e-05,3.15626341422715
"Ambos",5,7.4582850562899e-06,6.55068464156682e-06,2.99013544920953
"Ambos",10,2.55322192935108e-05,2.43611319516409e-05,7.85452604095513
"Ambos",15,0.000135912004483962,9.85315368502079e-05,8.13436088882154
"Ambos",20,0.000153379773673072,0.000121191552214144,7.16547782176456
"Ambos",25,0.000148228527207634,0.00013202987228887,8.05694162459385
"Ambos",30,0.000172676514944474,0.000164994082305285,9.20982632505649
"Ambos",35,0.000154479354273365,0.000147525234592426,6.86373080024399
"Ambos",40,0.000237772628135549,0.000230417510441622,8.01435259177189
"Ambos",45,0.000193738597574195,0.000183934264971801,4.64013955634597
"Ambos",50,0.000357080901425622,0.000349986277831476,5.98363416018151
"Ambos",55,0.000533898601894253,0.000520785180968823,6.10021216054761
"Ambos",60,0.000200081618900163,0.00019641990141939,1.56621077472002
"Ambos",65,0.00026475347664246,0.000257343092558941,1.38377526511219
"Ambos",70,0.00119353089051523,0.00115588391802215,4.29771828426268
"Ambos",75,0.000314990502573305,0.000308667064777774,0.719771793625951
"Ambos",80,0.00307836251992928,0.00305175754516872,4.22091973207535
"Ambos",85,0.00211740100353991,0.00188636847935383,1.58702260073182
"Ambos",90,0.00317081699522254,0.00310353624474403,1.57450750121241
"Feminino",0,0.000384701282632956,0.000371861911349601,3.25515927826134
"Feminino",1,2.6338246617036e-05,2.52070339412258e-05,5.18505234107953
"Feminino",5,2.90770717881082e-06,2.42222428355915e-06,1.22457890993761
"Feminino",10,8.38820293236648e-06,8.26898903193768e-06,3.37811068338731
"Feminino",15,7.40616139840281e-06,6.4585617954971e-06,1.42614929481236
"Feminino",20,6.62310906203101e-06,6.49793787697107e-06,1.1571507194435
"Feminino",25,3.98990606545442e-05,3.94693221744185e-05,5.85512286989454
"Feminino",30,4.14931328251573e-05,4.11037092822261e-05,4.5663171159487
"Feminino",35,9.90667490758818e-05,9.73466709426497e-05,7.48601094925541
"Feminino",40,8.40914080693569e-05,8.22626578829892e-05,4.41295223729825
"Feminino",45,8.77380878318582e-05,8.31260574684357e-05,3.05925487409222
"Feminino",50,0.000207106604784602,0.000199580136534675,4.9116427148948
"Feminino",55,0.000234748455250681,0.000225832189361415,3.74313453952363
"Feminino",60,0.000141742218344614,0.000139944357551472,1.51659716729395
"Feminino",65,0.000238129890650394,0.000228085081233073,1.60763902746042
"Feminino",70,0.000481698487177128,0.000446893937236225,2.17242702728668
"Feminino",75,0.0008327982739014,0.000763845816955055,2.12552874248282
"Feminino",80,0.00162514938796997,0.00159727694717609,2.52812755577148
"Feminino",85,0.00247873087935098,0.00227924662215376,2.07255785713356
"Feminino",90,0.00174394150524003,0.00158172965357407,0.830483409296309
"Masculino",0,0.00149289444998198,0.0013588865611697,10.7078760185755
"Masculino",1,3.32127765442219e-05,2.84486218552112e-05,5.00530869605679
"Masculino",5,1.18085676034811e-05,1.08806009761374e-05,4.51303542385665
"Masculino",10,4.82674005292626e-05,4.61428748282152e-05,12.2611286142041
"Masculino",15,0.000253480604555636,0.000183425089141629,9.42380649843898
"Masculino",20,0.000319512647092525,0.000251419082694469,8.89809344827188
"Masculino",25,0.000267398333799633,0.000231935621539155,8.85239232208512
"Masculino",30,0.000305908044858288,0.000291338321114604,10.7490501863902
"Masculino",35,0.000214929262049574,0.000203301187761688,6.68770812996639
"Masculino",40,0.000309257283454688,0.000298709378158349,7.65886438638864
"Masculino",45,0.00029744725974921,0.000282709980945951,5.33092668520247
"Masculino",50,0.000366674982577359,0.000361578533887193,4.67246492035394
"Masculino",55,0.000895448672455288,0.00087790979301957,7.72550674209642
"Masculino",60,0.000328662216160978,0.000318877079743745,1.94753263153515
"Masculino",65,0.000130098638470615,0.000127821512922182,0.540480033091161
"Masculino",70,0.00133922404900505,0.00130664183433844,3.81232435150564
"Masculino",75,0.00128891582554913,0.00127555992122451,2.45495230943844
"Masculino",80,0.00302928077275238,0.00300262957753116,3.54307488016585
"Masculino",85,0.00199906062287238,0.00174473709610039,1.29830846516967
"Masculino",90,0.0123712474354576,0.0121006955590278,5.75998402327702
