

IDADE	ANO	Mulheres	Homens	Ambos
0	2000	0.0249710191748541	0.032572374271601	0.0288335682311102
1	2000	0.00104892627217668	0.001249494616144	0.00115023215350591
5	2000	0.000309852168446067	0.000442807054604068	0.000376489082507096
10	2000	0.00033708797359667	0.000534970333463326	0.000436038137256896
15	2000	0.00059044394681558	0.00194652254187062	0.00126580475369664
20	2000	0.000738104315362976	0.00301779341546816	0.00186651471982953
25	2000	0.000933671309259504	0.00325097952436119	0.00207485243728619
30	2000	0.0012792587416014	0.00370471747530861	0.00246560950076958
35	2000	0.00180524619699228	0.0044717160047373	0.00310266724302909
40	2000	0.0026951028508986	0.00575548435972583	0.00418439309228163
45	2000	0.00398616144633869	0.00774562524064571	0.00581358389663221
50	2000	0.00591273765164464	0.0106812487653587	0.00823056996503308
55	2000	0.00874667665948205	0.015036830836844	0.0117829089364854
60	2000	0.0133354217992944	0.0216534454060133	0.0172832123860045
65	2000	0.0197287393066323	0.031569423948662	0.0251973911178279
70	2000	0.0268750775400866	0.0436559784330897	0.0343898219185264
75	2000	0.0449137136153584	0.0652140600688387	0.0537199443052758
80	2000	0.0772236832041982	0.099896993621282	0.0864781064944538
85	2000	0.125559361479424	0.145220226243354	0.133317102314129
90	2000	0.188211837471929	0.200163086410315	0.192835501107438
0	2001	0.0234376522044069	0.0300747601603721	0.0268179282905423
1	2001	0.000971066881459723	0.00114389502493855	0.00105855178530714
5	2001	0.000306491444953686	0.000429487534373617	0.000368196473272375
10	2001	0.000333928281458025	0.00052041472064211	0.000427207631494269
15	2001	0.000571373931714288	0.00197915785721289	0.00127294853119214
20	2001	0.000711316545039302	0.00304226007030355	0.00186482666157161
25	2001	0.000905175883062169	0.00322649885834678	0.00204841002247107
30	2001	0.0012245837023146	0.00363714312128725	0.00240490571202799
35	2001	0.00174473037742008	0.00437044417828209	0.00302132613181121
40	2001	0.00259219385022911	0.00561958927489749	0.00406297389657514
45	2001	0.00389578048036993	0.00760147894883314	0.00569400006773723
50	2001	0.00576465574024565	0.0104808144225132	0.00805232207053706
55	2001	0.00847065191739926	0.0146748622105287	0.0114624560643164
60	2001	0.0129956926502653	0.0212318050519517	0.0169041733465204
65	2001	0.0192708530436496	0.0309376882603427	0.024659270428368
70	2001	0.0262778509952419	0.0430013019087254	0.0337488365214671
75	2001	0.0444753468343886	0.0650210476895287	0.0533272666451492
80	2001	0.0748469818866015	0.0970743065606272	0.0839567382576838
85	2001	0.125022470138914	0.14536795603922	0.132974852429854
90	2001	0.189015149582353	0.201909070935087	0.193984306887533
0	2002	0.0220273934323875	0.0286316104420675	0.0253979713873507
1	2002	0.000925592184708717	0.00107861402941512	0.00100321761731121
5	2002	0.000303755256746616	0.000417338848680767	0.000360818608873088
10	2002	0.000322396715606488	0.000511419674802394	0.000416975649381469
15	2002	0.000564170797402357	0.00197717264312034	0.00126870926056936
20	2002	0.000686350740101238	0.00303216816794199	0.00184722422499631
25	2002	0.000883115403241888	0.00320607568263153	0.00202713000760851
30	2002	0.00118311525110668	0.00356482000882566	0.00234856272133749
35	2002	0.00168424743505166	0.00426693213909105	0.00293941669381731
40	2002	0.00249717868870542	0.00547348215568051	0.00394067410356853
45	2002	0.00380205427966887	0.00746888854424592	0.00557881819481251
50	2002	0.00555857350865574	0.0102467768736236	0.00782759277010693
55	2002	0.00828833959551457	0.0143741966040943	0.0112197071850701
60	2002	0.0126117679565086	0.0209240435211164	0.0165555215188128
65	2002	0.0188538960171842	0.0303702473960864	0.0241751407892614
70	2002	0.0258032908597524	0.0425893505916547	0.0332857167790623
75	2002	0.0441405225469835	0.064972431309065	0.0530717057231236
80	2002	0.0733506801035299	0.0959744844120902	0.0826301724046926
85	2002	0.12461881571162	0.1463872208153	0.133050434600035
90	2002	0.19003442298772	0.20483547588159	0.195704689900298
0	2003	0.0214737289959989	0.0271580776708843	0.0243797658683278
1	2003	0.000867469791920853	0.00100673864437778	0.000938266055434626
5	2003	0.000297764273044965	0.000406645580492006	0.000352565349517795
10	2003	0.000315218179475301	0.000493835012556729	0.000404621077205577
15	2003	0.000552934907591777	0.00195874308612608	0.00125416993088937
20	2003	0.00067363854717294	0.00301480608113819	0.00183255091155762
25	2003	0.000851551280269063	0.00313438892859394	0.00197560148792602
30	2003	0.00113871641481261	0.00345163889618549	0.00227069847087434
35	2003	0.00163510584801252	0.00417732330522904	0.00287035909472239
40	2003	0.00241429604497207	0.00537485417574125	0.00384803095682116
45	2003	0.00370838446865579	0.00731679293054989	0.00545450950712908
50	2003	0.00541035155006703	0.0100843056737496	0.0076672911723759
55	2003	0.00804805078439413	0.0141213241727525	0.010969461422931
60	2003	0.0123606166281597	0.0206564350795347	0.0162951703817627
65	2003	0.0186186780595211	0.0298912181236081	0.0238304697018674
70	2003	0.0254734236345355	0.0421478025908911	0.0328929129668539
75	2003	0.0439456727772336	0.0646975025217898	0.0528098352203423
80	2003	0.072579082449806	0.0955264273184601	0.0819770763380049
85	2003	0.124197367468696	0.146867319576092	0.132905397122575
90	2003	0.190523541054962	0.207075962539022	0.196814171643918
0	2004	0.0200141709293876	0.0249290472411035	0.0225299008138055
1	2004	0.000820379304420414	0.000938078758697486	0.000880332782938827
5	2004	0.000284506134080512	0.000384531829060707	0.000334956082668964
10	2004	0.000300085715665722	0.00047986198408932	0.000390105489439604
15	2004	0.000539961317080874	0.00191985972218914	0.00122851666361429
20	2004	0.000647838109164043	0.00289309690233687	0.00175989076798757
25	2004	0.000825323428453917	0.00300673467893045	0.00189910218903318
30	2004	0.00109877799979556	0.00331296219823686	0.00218265822109817
35	2004	0.00157493529401579	0.00403672867328219	0.00277123077961226
40	2004	0.00233370063775448	0.0052055827989438	0.00372267577474175
45	2004	0.00357828941385529	0.00714104946790937	0.00529999959136472
50	2004	0.00522104343805389	0.00987916015915973	0.00746546966250472
55	2004	0.00774573029987963	0.013746499995911	0.0106277859378524
60	2004	0.0118791141585467	0.0200661313723247	0.0157602157981354
65	2004	0.0181866196708677	0.0292383137268611	0.0232990789028123
70	2004	0.0247218924504243	0.0412265213662978	0.0320581423825033
75	2004	0.0429741868348467	0.0637019655075744	0.0518019581666409
80	2004	0.0711368427676914	0.0946909963337776	0.0807567276176691
85	2004	0.122384341725483	0.146293927520852	0.131499360063009
90	2004	0.188653198956989	0.207565506672149	0.195770768447322
0	2005	0.0186632309081744	0.0234743075148035	0.0211275902451893
1	2005	0.000761322479866978	0.000870443773242652	0.000817014256132964
5	2005	0.000276814739650863	0.00037239364662658	0.000325127210812762
10	2005	0.000296311459502021	0.000465694919668777	0.000381178706238085
15	2005	0.000523251728160135	0.00190960960260829	0.0012152539788401
20	2005	0.000633069279901345	0.00279898955849746	0.00170660559346568
25	2005	0.000794967275462947	0.00289744640724776	0.00182958171115038
30	2005	0.00106429873764567	0.00320017303829767	0.00211008271825636
35	2005	0.001537089723923	0.00389956879320316	0.00268548870875952
40	2005	0.00225417370898687	0.00505721249121525	0.0036084734895344
45	2005	0.0034638303790902	0.00692298056899494	0.00513308632990041
50	2005	0.00508179970616015	0.0096971179195855	0.0073013284490446
55	2005	0.00749961729546182	0.0134216971966232	0.0103388996790012
60	2005	0.0114727972887384	0.0193311528948596	0.0151960445695631
65	2005	0.0177319724655119	0.0286089641217863	0.0227652092616822
70	2005	0.0241470271634341	0.0401618302078361	0.0312647764309374
75	2005	0.0421733715104866	0.0624283235804393	0.0507783725384275
80	2005	0.0702929433188071	0.0936662772721867	0.0798102174396017
85	2005	0.121099895513258	0.144595111815846	0.129996524671138
90	2005	0.187823952184115	0.207038277581945	0.194977252245507
0	2006	0.017272468883645	0.0214184510109494	0.0193920091598595
1	2006	0.000713903151216146	0.000808348087122439	0.000762178751844181
5	2006	0.000269132359318067	0.000360671951046706	0.000315506512185677
10	2006	0.000290043645213067	0.000453088929469731	0.000371815305427121
15	2006	0.000506660432964579	0.00190526211854192	0.0012049846637532
20	2006	0.000610595032469197	0.0027463127303211	0.00166992686039593
25	2006	0.000782903096789141	0.00283675233368566	0.00179345530077041
30	2006	0.00104069634805264	0.00311959100326894	0.00205877867735187
35	2006	0.00149214138385588	0.00376135558375029	0.00259565791913634
40	2006	0.00219608997169508	0.00488208660225451	0.00349303635449073
45	2006	0.00333742007862069	0.0067007626444437	0.00495796701781125
50	2006	0.00489343699612063	0.00942579794203335	0.00706959535095566
55	2006	0.00727398360318972	0.0130769145774173	0.0100506385893989
60	2006	0.0110316990216728	0.0186029734235529	0.0146167440833491
65	2006	0.0170966441944496	0.027808570472875	0.0220540530127467
70	2006	0.0235027749520198	0.0390312558416236	0.0304102210049542
75	2006	0.0412179288755468	0.0610367478281226	0.0496202082357325
80	2006	0.0700858379850734	0.0935985361932279	0.0795787558223224
85	2006	0.117208718949004	0.139149539811283	0.125572303982765
90	2006	0.18655708736893	0.206509066199349	0.193902352318481
0	2007	0.0161322085968727	0.020192775776458	0.0182083556792175
1	2007	0.000677442850757871	0.000768670074452925	0.000724098350405221
5	2007	0.000266752104484859	0.000357195329390548	0.000312669957544179
10	2007	0.000289114754242617	0.000445691759166258	0.000367754442157834
15	2007	0.000500514764089439	0.00190308059943512	0.00120104973028501
20	2007	0.000600905649857667	0.00276808369140296	0.00167645785630797
25	2007	0.000764720611424734	0.00283418540428554	0.00178308002802856
30	2007	0.00102070562918558	0.00307794454923738	0.00202830266810942
35	2007	0.00146771545393425	0.00368432354065426	0.00254607283490089
40	2007	0.0021750586560957	0.00482750221308199	0.00345551429797367
45	2007	0.00326371184173606	0.00655198921556613	0.00484565284776459
50	2007	0.004824615647582	0.00930777727254786	0.00697431335007531
55	2007	0.00715149576067829	0.0128854925735717	0.00988922008403256
60	2007	0.0109108485835112	0.0183332679410996	0.0144228655775478
65	2007	0.016733195181214	0.0274315072809721	0.0216842904436741
70	2007	0.0231799940212747	0.0385558391049617	0.0300288167018916
75	2007	0.0405981201368727	0.0603945536759581	0.0489762363920663
80	2007	0.0700823551170052	0.0938262800460314	0.0796186595146339
85	2007	0.115692226183512	0.137866397659061	0.124154142908042
90	2007	0.186329057338772	0.20717798472324	0.193916745578204
0	2008	0.0155789661331295	0.018881397414699	0.01726778160397
1	2008	0.000643522517235907	0.00072994793122557	0.000687726822269518
5	2008	0.000260006444331504	0.000345273468080037	0.000303384945343391
