"Year","Country","0","1","5","10","15","20","25","30","35","40","45","50","55","60","65","70","75","80","85","90"
1950,"AUS",-3.56277557731821,-6.30891877789343,-7.02428909523809,-7.1821921246839,-6.58567177981302,-6.18504929618065,-6.41305903714603,-6.27648350214028,-5.97953597624271,-5.52396404808036,-5.03749274826614,-4.512591004695,-4.05358656974993,-3.5874064851833,-3.15919282270703,-2.71870678129074,-2.29789610350791,-1.92964317659144,-1.47102470528047,-1.15373158788919
1951,"AUS",-3.56418701015662,-6.27117844991059,-7.11847631029779,-7.16912004311654,-6.38302675004716,-6.10575369351011,-6.30343931212881,-6.25023527606534,-5.91080664409053,-5.52396404808036,-5.02068562994976,-4.48738715033171,-3.99377550730041,-3.54460596495751,-3.13040717688059,-2.72037585079285,-2.27079577050464,-1.91575928910482,-1.46702730695299,-1.02961941718116
1952,"AUS",-3.57877023143391,-6.37126190846757,-7.27881896037297,-7.35404238161056,-6.46306945772069,-6.19971948592844,-6.2925696398919,-6.27648350214028,-5.94458096120913,-5.5570880955054,-5.0101354190546,-4.48827643451659,-4.02239606290952,-3.55644866693345,-3.12493021202567,-2.73737603048404,-2.29978900569204,-1.92909236412915,-1.51731462355829,-1.12492959698548
1953,"AUS",-3.63742617252502,-6.37712702791997,-7.1821921246839,-7.27881896037297,-6.48248754357779,-6.27117844991059,-6.40697999106965,-6.3367757323964,-5.99949671880525,-5.5886696675557,-5.09130319716371,-4.54313479506864,-4.06400936242603,-3.60785261547156,-3.19418321227783,-2.74466231959894,-2.33987167778006,-1.96825801271922,-1.50850719385566,-1.16938135955632
1954,"AUS",-3.66594448283144,-6.34244146993208,-7.35404238161056,-7.38579107992514,-6.52931884326189,-6.30343931212881,-6.37126190846757,-6.31996861408002,-6.06188701140453,-5.59672340236279,-5.11599580975408,-4.55638002181866,-4.07807758975823,-3.63704630547392,-3.19247735101367,-2.72417958303209,-2.27799004613867,-1.96468530438165,-1.48478960786899,-1.12492959698548
1955,"AUS",-3.67576581496855,-6.42532912973784,-7.43538802106451,-7.41858090274813,-6.46306945772069,-6.37126190846757,-6.40093767661368,-6.30891877789343,-6.08357983601579,-5.64929428937213,-5.11266801966141,-4.57561138374655,-4.08578133156161,-3.6400892899445,-3.15590102570681,-2.7376850062319,-2.3342821797373,-1.95580898123456,-1.51199364777325,-1.1314021114911
1956,"AUS",-3.71810231279084,-6.55008083471032,-7.48757377423508,-7.46987419713568,-6.66873837851164,-6.2925696398919,-6.4377516497364,-6.30343931212881,-6.05760434961253,-5.6048425268013,-5.11766386685478,-4.59521985513492,-4.0710187369186,-3.58885314004681,-3.17151525350836,-2.71085412843494,-2.28101931507948,-1.87614157850069,-1.43519053090772,-1.08518926833597
1957,"AUS",-3.70014264639265,-6.50229017087397,-7.45248245442381,-7.50559227973776,-6.52931884326189,-6.32553965912947,-6.40093767661368,-6.21460809842219,-6.0448653238351,-5.6578535427678,-5.12941883008622,-4.59521985513492,-4.07395387257437,-3.62534143330995,-3.17461973361366,-2.74575206828622,-2.32975076106682,-1.99907888519538,-1.53030330927037,-1.12167756159911
1958,"AUS",-3.76145014694877,-6.64539101451465,-7.46987419713568,-7.6211051668596,-6.62257633674847,-6.25023527606534,-6.46950034805098,-6.36543098815677,-6.07484615604703,-5.70478297498978,-5.11100826824304,-4.60018264447705,-4.11659017116942,-3.64505397457391,-3.20029943929527,-2.79034544382904,-2.37300755729059,-2.01178289320602,-1.55979097254469,-1.14740245283754
1959,"AUS",-3.70622909244905,-6.63012354238386,-7.45248245442381,-7.6211051668596,-6.52249287819149,-6.38896148556697,-6.55008083471032,-6.28181684811564,-6.0116672544255,-5.63239247856953,-5.11766386685478,-4.60717218865876,-4.03362582718739,-3.64199586821509,-3.12972091355731,-2.73876717376427,-2.28082360121253,-1.97277787549162,-1.54346292351057,-1.11514159061932
1960,"AUS",-3.78099474302174,-6.75075153017247,-7.50559227973776,-7.60090245954208,-6.62257633674847,-6.45033043194326,-6.50229017087397,-6.37126190846757,-6.12843040218114,-5.61852263070538,-5.14645501723879,-4.60018264447705,-4.08995421392081,-3.62722007372721,-3.17008566069877,-2.76050206110463,-2.35609136051719,-1.98522286644085,-1.58192002639736,-1.08856195281461
1961,"AUS",-3.7898053727039,-6.7338019718587,-7.6211051668596,-7.54263355141811,-6.68461172766793,-6.43152109998577,-6.52931884326189,-6.38302675004716,-6.07484615604703,-5.56750485636365,-5.13110944756413,-4.60817469500839,-4.12027794424861,-3.63932767528469,-3.19028836801629,-2.7682780266527,-2.36573790799931,-1.99451233089453,-1.57137171162764,-1.12817109090965
1962,"AUS",-3.76231073219982,-6.84009663050832,-7.54263355141811,-7.70626297519991,-6.75075153017247,-6.38302675004716,-6.50229017087397,-6.38302675004716,-6.05333995082607,-5.62128125314446,-5.06720564558465,-4.5912672808191,-4.07807758975823,-3.61935339146533,-3.17917445801665,-2.74809125063939,-2.33686602697092,-1.9779685727492,-1.51004516855607,-1.11514159061932
1963,"AUS",-3.80991778249099,-6.92795798629966,-7.60090245954208,-7.60090245954208,-6.72543372218818,-6.42532912973784,-6.52931884326189,-6.40697999106965,-6.06188701140453,-5.63518968319059,-5.05930046607754,-4.58145365937078,-4.09354488205154,-3.58704514823267,-3.15590102570681,-2.76351005830658,-2.3198329864036,-1.9898202401748,-1.55093318306154,-1.14103300455206
