"sexo","idade","ano","previsto","inferior","superior","observado"
"Feminino",0,2012,0.0130118784942517,0.0126834493157393,0.013348812119986,0.0132551511959286
"Feminino",1,2012,0.000540590387026153,0.000527028845230246,0.000554500895330339,0.000538129668969831
"Feminino",5,2012,0.00024073349655338,0.000238229043867709,0.000243264278032353,0.000234094086270805
"Feminino",10,2012,0.000267262338485066,0.00026492968736802,0.000269615528112869,0.000264210837593014
"Feminino",15,2012,0.000480346338236529,0.000476841220363117,0.000483877221188089,0.000509449733749648
"Feminino",20,2012,0.000580102924707945,0.000575441549681528,0.000584802059289871,0.000595778447307364
"Feminino",25,2012,0.000714716633451061,0.000707825465324267,0.00072167489184301,0.000717657420600476
"Feminino",30,2012,0.000949815240412974,0.000940063357008129,0.000959668286392907,0.000975914262789755
"Feminino",35,2012,0.00134458276404117,0.0013301980516186,0.00135912303221067,0.00135819934382923
"Feminino",40,2012,0.00200018021488529,0.00197912953905812,0.00202145479265725,0.00203006029503699
"Feminino",45,2012,0.00298811829466282,0.00295485140881328,0.00302175971227082,0.00301301803896205
"Feminino",50,2012,0.00443197709531429,0.00438449339744533,0.00447997503767147,0.00440041879654112
"Feminino",55,2012,0.00650664795162732,0.00643416984769251,0.00657994248964366,0.00659356085053954
"Feminino",60,2012,0.00983137899175745,0.00971619001741002,0.00994793357338379,0.00988120238203934
"Feminino",65,2012,0.0154715581834206,0.0153249419111698,0.015619577157973,0.0153364404569494
"Feminino",70,2012,0.0218992821990448,0.0217315887401846,0.0220682696772462,0.0220685199769523
"Feminino",75,2012,0.0382869806627178,0.0380333555345699,0.0385422970880107,0.038023805781755
"Feminino",80,2012,0.0666945545446426,0.0663703257144308,0.0670203672805112,0.0660269094153338
"Feminino",85,2012,0.112732165387632,0.112222353821503,0.113244292961437,0.114813291673848
"Feminino",90,2012,0.185627735220898,0.185473222732373,0.185782376429401,0.184565123351175
"Feminino",0,2013,0.0123081061057291,0.0118535548966398,0.0127800881027539,0.0127739962637988
"Feminino",1,2013,0.000511527458852265,0.000492750917867641,0.000531019490115167,0.00052352802745317
"Feminino",5,2013,0.000235319459498862,0.000231724775392005,0.0002389699069733,0.000224019775982907
"Feminino",10,2013,0.000262214707146953,0.000258852934525019,0.000265620139753591,0.000262203811981436
"Feminino",15,2013,0.000472755199098765,0.000467686096752779,0.00047787924384901,0.000497811882005736
"Feminino",20,2013,0.000570012039010747,0.000563282836357392,0.000576821631417574,0.000582884723354758
"Feminino",25,2013,0.000699812851438051,0.000689903483191401,0.000709864552027471,0.000704303483396776
"Feminino",30,2013,0.00092873226814769,0.000914730575636308,0.000942948283213062,0.000963822100362139
"Feminino",35,2013,0.00131349181579847,0.00129286001239667,0.0013344528669978,0.0013457346126232
