sexo,idade,sMAPE_ARIMA,sMAPE_FDM,sMAPE_LC,sMAPE_ETS,sMAPE_CNN_GRU,sMAPE_CNN,sMAPE_GRU,MAE_ARIMA,MAE_FDM,MAE_LC,MAE_ETS,MAE_CNN_GRU,MAE_CNN,MAE_GRU,RMSE_ARIMA,RMSE_FDM,RMSE_LC,RMSE_ETS,RMSE_CNN_GRU,RMSE_CNN,RMSE_GRU
Ambos,0,13.7145849053399,4.38442831395021,4.88331193896745,10.453924521218,8.721478173284012,13.590067708481325,13.933317585024469,0.0016027071247211,0.0005681501329925,0.000640655725449,0.0013501511884647,0.0012456660759405,0.0019940757344006,0.0020497410664699,0.0018354240234417,0.0007294858259275,0.0007103689419707,0.0013846776781434,0.0012719850538612,0.0020554043551927,0.0021857755586806
Ambos,1,8.07171228467428,15.7156938167598,3.98772651822139,2.64133125778662,7.730457141805498,11.974173883945854,13.2775580994103,3.92889155647713e-05,8.79741392918241e-05,2.09061505633502e-05,1.40598122271594e-05,4.41544028558597e-05,7.002977081538306e-05,7.832144257420936e-05,4.92440560887635e-05,8.8981235194962e-05,2.54504880519716e-05,1.6656820699105e-05,4.525622791967645e-05,7.203182085239227e-05,8.367023811737004e-05
Ambos,5,2.20971210238657,11.0098257995504,4.97180324534201,2.35014600174753,9.191302550155104,12.125952424205972,11.569789961012717,5.23040917503168e-06,2.62257799714359e-05,1.26805210751786e-05,5.84163006521588e-06,2.402189661240024e-05,3.2270981363276715e-05,3.066207632750449e-05,6.26858282238054e-06,2.64220064051587e-05,1.32998068928773e-05,6.94686969041345e-06,2.515809396608397e-05,3.467464494704499e-05,3.301842155575778e-05
Ambos,10,8.73178754643423,14.0137138063069,1.98584895284359,1.94201318740533,2.007077663556363,3.1909760272869665,3.7865937464001234,2.84084883648843e-05,4.50872374981707e-05,6.72450779909901e-06,6.54267631531348e-06,6.778534645779711e-06,1.0885553050943327e-05,1.2975591054366288e-05,3.44677940001234e-05,4.52395750596755e-05,7.41989155035386e-06,8.94029754726783e-06,8.033283700335e-06,1.316276983171824e-05,1.640115866464333e-05
Ambos,15,6.46334934101788,6.2862092505188,11.1124426646942,5.80608419329979,10.870415169118877,9.824417426020716,7.548786916747077,7.97456317591025e-05,7.52804110570381e-05,0.0001383659277751,7.42251560815892e-05,0.00013550539693397,0.00012310818042645,9.565790113840003e-05,9.01412237584223e-05,8.4545799040777e-05,0.0001404829427141,7.63567397813057e-05,0.00013787260445964,0.00012430489315635,9.740774795005424e-05
Ambos,20,3.027033045293,1.84644678935778,4.66408355396707,0.699167155475462,2.9876250342676327,2.234670278559588,0.4998827986402495,5.05640286688398e-05,2.97903934096831e-05,7.81657892190558e-05,1.20183136070654e-05,5.046550902380702e-05,3.794878985252247e-05,8.5836557543389e-06,8.19176068549488e-05,4.02401309485448e-05,8.01209926437085e-05,1.49453122499109e-05,5.331369348693726e-05,3.95555575028407e-05,1.1292853644537004e-05
Ambos,25,2.58336113025988,5.35262259535095,3.34120705050529,2.09251236780565,1.0764556507686176,1.3883942128389837,2.2448338751779864,4.20202974903864e-05,8.64538898937666e-05,5.59747375609794e-05,3.61014488201321e-05,1.8664028803524503e-05,2.385996553808773e-05,3.8771433271655206e-05,4.72479632427919e-05,9.07061205077005e-05,5.85167775761206e-05,3.8813435593579e-05,2.335119551255655e-05,2.5640160121284743e-05,4.047691974307397e-05
Ambos,30,5.57323892085572,13.9756189169827,3.10668207050343,2.52010495480467,0.7746040072935887,4.381338435954814,1.2137168434116732,0.0001009192034277,0.0002576210946306,5.78957795475299e-05,4.7967492887917e-05,1.4552354149245715e-05,8.446274539787146e-05,2.283173007364305e-05,0.000121847781443,0.0002581395611327,5.82610215006729e-05,5.5325982163882e-05,1.81332792577712e-05,9.198311694349578e-05,2.885850233425688e-05
Ambos,35,3.20832695584943,13.5950555027018,2.01608116801656,0.862331907533363,0.915467079953188,2.5159453020535194,1.0271391383230613,6.9123396707675e-05,0.0003039793903088,4.60981045169473e-05,1.96951413555044e-05,2.128186061677842e-05,5.829865418143529e-05,2.3878842587199957e-05,8.88586796723343e-05,0.0003053725774843,4.63606609266575e-05,2.6298682229984e-05,2.359121876863568e-05,7.046930355375607e-05,2.665720384006558e-05
Ambos,40,2.53606116927229,16.0243911980081,0.438784061032373,1.27494528402658,0.4522157957852984,3.4627283794985666,0.9176170141553136,7.26830719623994e-05,0.000482243040675,1.35026174643912e-05,3.8867807536381e-05,1.377056255717616e-05,0.00010726220306113,2.7748645653370035e-05,8.48683714203778e-05,0.0004834017494232,1.43313812530724e-05,4.57839539044934e-05,1.586293206896469e-05,0.00012739035847105,3.901576377520572e-05
Ambos,45,1.49690721928594,13.8776598885421,0.250142403516409,1.16174195432598,0.7785999504218666,3.164815656705457,1.157385373464979,5.98858370459961e-05,0.0005803667413533,1.08561469079288e-05,4.96920822262866e-05,3.332881093392223e-05,0.0001374155838733,4.941391688555413e-05,7.02425414486811e-05,0.0005831287362129,1.17824912594075e-05,5.816657656181e-05,3.613785762218263e-05,0.00015310438826635,6.065589506970244e-05
Ambos,50,0.384715375700301,13.8774731897305,1.77760274447101,0.600878475063044,3.083032538183085,4.5833166755636485,2.830499626941628,2.32006588232123e-05,0.0008478576741197,0.0001103419579237,3.72119053295387e-05,0.00019230732996905,0.00028733549476445,0.00017579108819061,3.31616736508664e-05,0.0008498620967371,0.0001136162058373,4.66234207808901e-05,0.00019468547847801,0.00030603053854559,0.00018203703952321
Ambos,55,0.842865770540406,12.2898178713272,1.10991577004493,0.915257619833948,0.1563651673514495,1.9643504156244,1.9347482957312905,7.09204724108909e-05,0.0010862145796088,9.83519991420503e-05,8.10195865475916e-05,1.3866728586264202e-05,0.00017677539481414,0.00017205018789075,9.20513625319548e-05,0.0010887403883741,0.0001063067306333,9.12005282376392e-05,1.941960079083761e-05,0.00020945961347137,0.00017211902067297
Ambos,60,3.59767666092442,5.0448371858522,1.85735745286942,1.08266273426879,0.4798938034933817,1.915294683445152,0.8013453475922465,0.0004389291657217,0.0006461521680741,0.0002368552259991,0.0001380386203694,6.150858635885778e-05,0.00025037620051775,0.00010405558645571,0.0005320044453137,0.0006478146043078,0.0002808653144672,0.0001917690210334,8.799065913924971e-05,0.00028086474956772,0.00011684015836896
Ambos,65,2.19964542664109,7.53199400895767,1.22517751719177,0.645060533326668,2.216713934609575,4.011778299288049,3.2674275094046257,0.0003998478087904,0.0014436803539807,0.0002388739594742,0.0001229117678792,0.00043058111031357,0.00078567970446937,0.00063708125769232,0.0005101474826393,0.0014445824085187,0.0002782403448906,0.0001572420654177,0.00044198838114812,0.00084287297852949,0.00068302501619199
Ambos,70,0.302911204325958,12.1162282304008,0.422696575995354,0.688239713381665,0.6395035675540317,2.3701939988580385,2.3635784766363788,8.36168971000643e-05,0.0034012579532191,0.0001170958194605,0.0001925790455523,0.00017771272257147,0.00066535434089241,0.00066338023713867,0.0001168138924639,0.0034073345597883,0.0001337181684829,0.0002111403859327,0.00020144420171337,0.00076253153862663,0.00079195090125643
Ambos,75,0.31153915488811,3.804855650014,0.882890055092684,0.503524925121876,1.475001179665835,3.0711294255035817,3.058255151232503,0.0001361024605643,0.0016652455842874,0.0004010260239886,0.000224105249067,0.00066759992000848,0.0014023098199994,0.0013958294233558,0.0001558058153341,0.0016742108237256,0.0004253758001237,0.0002844757852889,0.00069522464703563,0.0014467875818563,0.0015408836231948
Ambos,80,0.523080670477343,6.29831289753239,2.11111350503432,3.59627000111921,2.9186019156936127,4.213208647606383,4.4385894327478566,0.0003791312935442,0.0046046856849447,0.0015645878926485,0.0026836040810089,0.0021709587981114,0.0031554046255953,0.0033280669926722,0.0004788273764746,0.0046102609473446,0.00159833351781,0.002865630338374,0.00222543507925,0.0032827874239786,0.0034741316270449
Ambos,85,0.71460832359299,1.78278805596849,2.04295120277717,1.15193133804614,0.7360052403542864,0.5668700772338636,0.4260956167282692,0.0008548155140749,0.0021256568626704,0.0024863819147066,0.0014240454842836,0.00090151511583663,0.00069712348279185,0.00052444133863966,0.0010798608201525,0.0022431583640912,0.0025227040864938,0.001598285579566,0.00093647594431164,0.00078871299599664,0.0006018946974635
Ambos,90,1.73435412193813,3.37234116090324,1.10435603296713,1.27441435848251,1.167546805598722,1.130913269562424,1.1963771802071013,0.0033868600351755,0.0065875576254598,0.0021321020622599,0.0024620598393384,0.0022531602312477,0.0021825698589926,0.0023080810705171,0.0036198012749551,0.0066126991036073,0.0024465722318631,0.0026999915167779,0.0025280011795349,0.0024538839280042,0.0026753669573411
Feminino,0,12.4836769916687,9.13146313136189,4.47342473990003,10.2827231776252,2.8542106776003062,2.147102252238884,6.285015039379664,0.0013429373868332,0.0010992592189729,0.000537316562947,0.0012124127957811,0.00035457476492353,0.00027100946359558,0.00080204975587806,0.0015472810267387,0.001194270885706,0.0005730098924936,0.0012290677901752,0.00041743484944669,0.00027863972806585,0.00086393979811281
Feminino,1,14.4201270366015,13.7389010843631,3.71025960703296,5.37570568188029,4.61973068609557,2.9251943314953515,7.219556779302692,6.35391027449183e-05,7.01913290039906e-05,1.81750846256262e-05,2.64278546566391e-05,2.428767003247867e-05,1.5377214325860376e-05,3.844510824814443e-05,7.18381298165027e-05,7.08707421746233e-05,2.27244065790262e-05,2.92408323882152e-05,2.4466648846848452e-05,1.6129014520369317e-05,3.884898668576998e-05
Feminino,5,4.07940933846372,16.1236544804079,5.49688281964563,3.23432477351897,9.283489287336517,9.635384168915948,9.47662368932713,8.62320756319768e-06,3.48512910591525e-05,1.23226585976793e-05,7.12093697103044e-06,2.1255918522381143e-05,2.2109113638084736e-05,2.171723336611097e-05,9.71028536253361e-06,3.49652118892029e-05,1.28876654894659e-05,7.98919836228735e-06,2.2389640330803503e-05,2.3299832540516018e-05,2.320860578101159e-05
